Network,Node,Degree,BiBC
1587,OTU_320249,22,35.72045273150388
2390,fasting insulin,15,27.420143999522104
431,OTU_179703,19,35.69741582362223
2166,HOMA-IR,15,28.252762401932845
1532,OTU_261016,19,33.0126220245183
1312,OTU_198194,16,29.74245969489142
694,OTU_266946,14,37.51872148170103
607,OTU_1129461,17,33.15138717491659
2413,OTU_264225,17,31.241168360176644
1569,OTU_1995182,21,50.300333662403354
1344,OTU_268492,17,31.98585095701027
1391,OTU_197099,19,35.81831047353361
682,fasting leptin,14,23.917546409782915
824,OTU_272889,18,41.3977391058291
1228,OTU_264846,14,26.697274475736616
1507,OTU_191616,17,28.27938443002584
2002,OTU_349246,16,27.270472298555642
308,OTU_191067,12,32.518218606299115
1948,OTU_460611,18,30.921514227086995
1105,fasting insulin,19,37.59064406239329
555,OTU_134762,21,34.8228066164862
635,OTU_631764,20,46.57629791338572
2106,OTU_344703,17,44.30732329689694
1741,OTU_180362,15,34.16864723037873
265,OTU_4345268,15,27.490312593489726
507,OTU_460611,16,24.450145532853448
2282,OTU_344703,16,35.17246899389185
1204,OTU_198194,16,26.61978881799313
184,fasting glucose from HOMA serum,18,27.412156993557616
185,OTU_180362,18,36.25837213443893
451,OTU_346804,21,50.348589194603186
688,OTU_229452,14,35.2601592220939
785,OTU_179703,15,31.00931741225824
147,OTU_264155,19,51.055002330084804
1469,OTU_272092,18,32.72599315835248
782,OTU_266946,17,42.4588868630261
447,OTU_344703,16,28.02991144256224
124,OTU_187233,14,32.807055491172804
666,OTU_4468805,19,24.674270330034915
820,OTU_206324,15,32.15502867016024
1840,OTU_539647,18,32.91843274114947
960,OTU_272758,14,27.55280396250076
221,OTU_4345268,19,41.221724892265186
1315,OTU_268492,16,28.58529442759315
440,OTU_188225,13,26.09808188887138
1825,OTU_259506,16,42.8268091342782
562,OTU_272889,20,26.752720851167627
1843,OTU_261132,16,31.35228462284188
528,OTU_194151,16,42.659127874273
163,OTU_259993,15,26.49996507041365
805,OTU_1902400,17,35.67555876341375
60,OTU_539647,16,27.595926211370877
1523,OTU_179703,16,41.30127911507913
2145,OTU_460611,14,29.138286200915115
223,OTU_185177,18,37.701352825110476
1842,OTU_265011,16,31.921344149389547
881,Body weight,18,36.923750350769495
823,OTU_261142,16,31.128236997406837
742,OTU_272889,18,67.7267986861819
1327,fasting insulin,16,34.0496479252116
641,OTU_549756,16,41.71364592602178
1543,OTU_331013,15,45.40094957483406
1442,fasting leptin,20,42.194233621555625
1240,Body weight,17,38.02896463701419
1262,fasting leptin,19,31.232073629849364
1324,HOMA-IR,14,32.42007702050272
1429,HOMA-IR,14,26.0749745137903
2539,OTU_1995182,19,35.71101477710209
833,OTU_261016,16,41.730125808944344
2395,OTU_259993,17,32.87895280425198
479,OTU_268063,16,43.547199244497165
2860,OTU_1129461,16,31.693790550408217
2396,fasting glucose from GTT,16,23.579240442276344
2357,OTU_191067,16,24.8704749312099
1976,OTU_261132,17,30.81789111387407
2217,OTU_187962,15,27.564247229378836
1497,OTU_262104,15,26.699706171985145
336,OTU_266946,15,32.04066093148909
718,OTU_1995182,20,30.417567445305043
1159,OTU_261142,14,26.868441674866673
818,OTU_331013,19,28.87616328839914
1539,OTU_191067,14,35.97935856712948
1198,OTU_4448052,14,29.709037402039485
1637,OTU_203713,15,26.603843747897464
1418,OTU_1995182,19,31.222899637587762
1759,OTU_320249,15,36.60639635443115
1459,OTU_262104,16,39.76752087852479
914,OTU_261142,19,44.01578461360071
1013,OTU_259506,14,24.754767508706127
858,OTU_272092,18,54.708955310255774
795,OTU_324888,18,31.76724584325203
1474,OTU_269037,20,46.213838649547874
514,fasting insulin,16,32.145393860525424
2432,OTU_445144,15,32.747817380418
2190,OTU_198209,18,43.01541073411621
1137,OTU_261132,19,36.97118440984545
2175,OTU_270200,19,44.72650159438088
457,OTU_539647,16,31.45290677936055
575,OTU_539647,19,32.5320006687499
1371,OTU_187233,18,37.73364207252121
1058,OTU_182712,18,27.83865022289943
435,OTU_191811,17,22.421121504054934
493,OTU_188225,13,37.85452333595421
1173,OTU_324013,22,55.795217566394236
1715,OTU_297143,22,46.19749246842067
211,OTU_187962,17,38.64415880321559
2307,OTU_206324,18,42.09939023599153
834,OTU_191811,20,31.926389924145358
2323,OTU_193672,15,30.70952714725934
310,fasting glucose from HOMA serum,15,27.146865088157817
2428,OTU_273737,18,33.4724028108004
2490,OTU_1995182,17,36.192750335170594
1350,OTU_191274,19,39.03289795381507
2511,OTU_170950,17,34.80657496281835
1496,OTU_191274,16,25.64028769218398
691,OTU_179703,16,38.42829617408077
1510,OTU_266946,15,39.69299437905374
1908,OTU_166911,17,26.925012224474322
2546,OTU_273737,16,26.57418853272855
2187,OTU_187962,14,24.935013799410093
1810,OTU_193672,18,34.431192793304525
1036,OTU_179703,13,45.97799783206141
1588,OTU_193064,17,26.005088339916707
1192,OTU_265011,21,35.43221412815288
717,OTU_264155,14,26.344355657242655
171,OTU_265011,16,27.59377974872829
609,OTU_269037,14,25.78677773382746
2152,OTU_346804,15,35.164555897319055
2089,OTU_198194,16,28.347503673918403
829,OTU_187962,20,39.42493085372392
270,OTU_324888,22,42.47794446806246
2271,OTU_198209,19,46.36221749252159
1389,OTU_261132,16,40.848314000814
1447,OTU_272092,17,34.67624182364057
1293,OTU_273737,13,51.209841417701256
1451,OTU_191811,17,36.72231470220607
2448,OTU_185177,17,29.18456224717835
250,OTU_269037,20,43.361023023496
2205,OTU_331013,18,34.81585128650684
96,fasting glucose from HOMA serum,18,31.026907270864076
76,OTU_631764,15,30.27320321070121
169,OTU_324888,15,33.32924679583994
2065,OTU_631764,17,41.63886375569834
1088,OTU_259993,21,40.78701960913061
946,OTU_273737,13,39.755780831941834
1484,OTU_264225,14,29.90227045878545
706,OTU_324888,18,22.98543006637885
330,OTU_1902400,15,28.526815208355444
249,OTU_349246,21,28.0487274844377
1748,OTU_268063,14,30.153977975019945
1106,OTU_272758,17,26.34570335536827
1466,OTU_4448052,19,34.719390081882366
1625,OTU_196191,17,23.10876896237577
987,OTU_273737,15,37.4230177502237
765,OTU_272758,17,41.075685122635356
2167,OTU_309916,18,34.237003738472986
2006,OTU_309916,19,46.91325578682901
844,OTU_4448052,18,33.34655407011085
576,OTU_4448052,16,35.773911165897005
1143,OTU_539647,18,34.394393592976215
626,OTU_1902400,13,33.13681690536922
1903,OTU_259506,18,38.704932265054794
1305,OTU_261142,17,33.36838030390662
1863,OTU_182764,15,36.60908233493374
1446,OTU_194151,14,25.298623588600368
1444,OTU_324888,17,36.9837320642894
608,fasting glucose from GTT,15,33.20759686780518
2181,OTU_265011,11,25.907914585414574
383,OTU_4448052,14,27.747613833391693
1660,OTU_193064,12,51.120343382108146
407,OTU_191616,17,40.002102912156474
423,OTU_4468805,21,27.73030686379625
1603,OTU_193672,15,28.26566158344731
1100,OTU_196191,18,37.32589501769683
2021,OTU_197099,14,40.081837428137824
1443,OTU_264734,19,44.45668270354814
1902,OTU_187962,19,43.22749433028852
203,OTU_539647,17,38.65760760548592
950,OTU_297143,14,31.3501007162772
1624,OTU_179703,21,44.26790470712943
460,OTU_198209,17,25.57946824888179
1985,OTU_460611,15,23.52470438058674
764,GTT-AUC,13,30.440759172028514
1360,OTU_261142,17,34.36905861166697
2100,OTU_261016,12,21.698390508652658
2195,OTU_187962,17,40.9029662514046
80,fed glucose,16,27.014650747822014
860,OTU_264846,15,31.545470436412465
1701,OTU_185222,21,43.87196326205612
763,OTU_445144,21,44.52372820617843
3400,OTU_4448052,16,32.45347454814073
2940,fasting leptin,12,26.047868797868798
3420,OTU_191811,17,31.580938228186024
2415,fed glucose,16,34.581049190847004
2193,OTU_265011,19,39.0516228052993
939,OTU_549756,19,26.932685258311196
1559,OTU_331013,16,42.5604642089937
1121,OTU_460611,16,34.562467365795555
1334,OTU_170950,16,38.409616402577555
3480,OTU_631764,15,34.698178412836185
463,120min glucose,13,23.48670719052165
239,OTU_272092,19,33.766719917938985
101,OTU_191616,16,25.552252443642292
1677,fasting glucose from GTT,17,29.60243411060351
2414,OTU_324013,18,26.066796831193123
738,OTU_264155,21,37.46199068777952
2416,OTU_445144,14,29.38648037086625
1879,OTU_266946,20,43.60004768960667
1417,OTU_288680,17,31.201560370127474
2016,OTU_182712,21,42.11900551974091
1820,OTU_331013,16,32.16347125097122
2535,OTU_264734,18,33.04548497777332
2392,OTU_1129461,17,25.64221181149805
2337,OTU_4468805,15,31.682992600689484
384,OTU_445144,17,41.021106349192955
1420,OTU_191274,17,42.30096699825808
1893,OTU_4448052,16,27.637425964128756
1032,OTU_259993,18,58.65791627533133
55,OTU_320249,18,27.621451001736027
1416,OTU_180362,16,38.60084881989591
156,OTU_268063,18,32.758785488816244
1754,fed glucose,20,43.61566549733985
2292,OTU_229452,16,24.472067880845785
2334,OTU_259993,16,44.9154062924437
2336,HOMA-IR,13,25.123324738781058
1614,OTU_259506,21,43.59480153059879
77,OTU_129394,17,30.95380560100373
115,OTU_174320,18,48.85095116019776
37,OTU_261132,13,28.47919572072521
994,OTU_4468805,16,27.734063590648535
936,OTU_346804,14,38.61074050734269
495,OTU_264225,21,33.800890630571146
1475,OTU_230268,18,30.732666756674046
2550,OTU_331013,19,35.2443255354954
1572,OTU_268492,16,28.14737399178946
2371,OTU_259993,14,25.17658215921855
2230,fasting leptin,18,27.185425827432233
733,120min glucose,17,42.9338639706042
1395,fed glucose,17,25.495936906231023
2289,OTU_264846,17,42.701124094343946
112,OTU_264846,19,33.75872854658394
398,OTU_272758,13,26.794843213697042
1252,OTU_346804,19,68.64068884446682
230,OTU_539647,16,32.50980738387861
574,OTU_179703,21,62.05251581064287
1489,OTU_129394,17,28.800882463769465
1329,OTU_185177,20,34.0304084783914
1573,OTU_182712,16,32.55360491589592
771,OTU_324013,16,38.0405213963883
1811,OTU_324888,18,32.71175561998016
2213,OTU_198209,19,33.91662566580457
1969,OTU_194151,20,54.150608346083224
2408,OTU_264846,14,51.10435317441052
952,fasting glucose from HOMA serum,19,28.53258846808955
70,OTU_191067,19,32.05697364870451
875,OTU_198194,20,36.36976487298936
1490,OTU_445144,20,35.9682497576383
312,OTU_166911,16,39.11391729167174
390,OTU_193672,18,35.64520932639167
772,OTU_264734,14,24.37406784392078
949,OTU_187233,13,34.28369825588172
1509,OTU_273737,19,56.656885156542074
2028,OTU_349246,13,24.91206987398596
2270,OTU_264846,15,33.517095442509365
2131,OTU_346804,17,36.723579152322955
510,OTU_191616,22,38.27452486892945
2384,HOMA-IR,13,23.820193365958602
710,OTU_1129461,17,35.91462221671037
905,OTU_272889,17,30.891306696202097
1188,OTU_193672,18,40.10414933289146
1826,OTU_272758,24,49.713517550847385
14,OTU_324013,19,40.37895392530679
647,OTU_261016,17,26.250432835630935
2266,OTU_1902400,23,37.75569117472372
1268,OTU_331013,16,37.16080227821717
1027,OTU_179703,14,25.18933318255907
1765,OTU_539647,15,22.153502350332857
2381,GTT-AUC,13,36.5926079403053
2242,OTU_288680,17,36.71063006910531
1827,OTU_166911,16,31.435987274235792
186,OTU_179703,19,38.975434916603284
1445,OTU_261142,18,31.40190593032807
1786,OTU_539647,13,23.292380242810992
947,OTU_272758,18,36.78031060917218
428,OTU_324013,15,24.98675437416596
1479,OTU_170950,17,37.289124298511524
865,OTU_179703,17,38.428452587431764
69,OTU_631764,18,33.105111798283836
2418,OTU_230268,14,27.069303908877146
470,OTU_134762,18,33.42032356599594
2105,OTU_188225,16,36.843697968697974
88,OTU_268492,16,32.977376983020925
1944,OTU_266946,13,30.993018773041346
2104,OTU_273737,17,37.67278858877427
3980,OTU_264225,17,24.726913012168442
2315,OTU_1129461,16,36.06734378994275
1975,OTU_185222,21,32.47131024701356
2256,OTU_4345268,20,37.344116071220355
2039,OTU_188225,19,38.403063276592704
2283,OTU_170950,18,38.408670543491766
445,OTU_262104,17,24.690921574125902
2102,OTU_320249,16,27.905343197967024
3280,OTU_198209,15,34.57602307822899
1238,OTU_188225,17,35.573700537508614
579,OTU_331013,17,25.87895008029616
2475,OTU_288680,16,36.47580434831914
1057,OTU_193064,16,34.78105499055136
1044,OTU_549756,21,40.049535971748284
839,OTU_191811,14,28.77729775593356
1437,OTU_191616,18,29.975141095163664
1865,OTU_191067,16,27.256880478109103
923,OTU_198209,19,36.26851043375647
2556,OTU_191616,21,33.16692572252035
2474,OTU_259506,15,41.329803830500495
2176,OTU_197099,16,37.0136870936306
938,OTU_264734,13,23.989840992340994
1441,OTU_269037,18,39.49806911068528
677,OTU_1902400,20,38.557154801720024
2118,OTU_191067,15,25.232287736418183
1524,OTU_4448052,16,28.430486744239918
816,OTU_324013,16,34.099078021222
484,OTU_261132,20,29.5130202649088
1263,OTU_170950,18,37.89824420636276
998,OTU_273737,18,33.45726251072531
2036,GTT-AUC,16,34.27284979382503
1922,OTU_324013,20,34.66893253890975
1600,OTU_1995182,14,24.22210883887355
924,OTU_182712,20,32.045610452499034
2275,OTU_344703,19,26.495514767373113
2320,OTU_193064,21,35.039412951655564
982,OTU_268492,19,29.27054900125972
477,OTU_193672,20,31.427169504901666
1174,OTU_264846,16,24.02801408239388
2520,OTU_174320,16,38.89659285952427
1014,OTU_185177,20,34.635648793930514
537,fasting glucose from GTT,17,29.14685078983774
212,OTU_309916,16,50.778415026884936
783,OTU_262104,17,34.35065648432523
1555,OTU_185177,17,26.17127275459319
174,OTU_193672,18,39.04861427831248
56,OTU_193064,14,29.373849612121923
1894,OTU_264734,22,36.038719023360215
1533,OTU_349246,17,35.970882534031695
35,OTU_1129461,17,35.14522176310103
1855,120min glucose,19,38.18471833522789
461,OTU_297143,12,26.830693034176004
420,OTU_631764,20,35.39581080217103
135,OTU_266946,16,31.545548952725742
2090,OTU_349246,13,30.18481780367971
534,OTU_188225,18,36.10221484483868
1552,OTU_129394,20,30.381179760536018
2386,fasting glucose from HOMA serum,15,28.30429109590099
1640,OTU_268492,16,29.462526389732297
1294,OTU_262104,20,37.930043720469484
1212,OTU_194151,13,27.154573784488647
2410,OTU_176154,17,31.128828192093778
1961,OTU_4468805,18,40.88593335656776
2473,OTU_182764,16,32.32516359311855
494,OTU_206324,16,45.955085193768085
1011,OTU_193064,20,41.910257140520265
933,OTU_272889,19,27.3839892821317
640,OTU_272092,19,40.47299242147251
2491,Body weight,19,33.042170237743
462,OTU_460611,18,29.426422149365493
2188,OTU_134762,18,37.34996635295132
1714,OTU_191616,18,29.919708061116744
815,OTU_193064,14,51.65997687370692
1671,OTU_170950,16,38.815658630379694
711,OTU_259506,18,29.77529801559787
1508,OTU_191274,14,36.0363309477474
51,OTU_264734,22,50.35350762267015
2130,OTU_264734,18,41.59432951106864
1261,OTU_185177,13,28.47628683796573
623,OTU_549756,19,27.682342950376626
1051,OTU_4345268,17,32.35642811164248
1390,OTU_261590,18,37.14289294683031
52,OTU_206324,18,36.796912429675615
969,OTU_196191,17,31.81565088958244
191,OTU_273737,15,33.947110355506524
542,OTU_166911,21,28.251698995853673
1341,OTU_230268,23,40.97425268306446
2109,OTU_549756,18,29.421922215735062
2029,OTU_331013,18,28.88683368365827
749,OTU_1995182,15,29.168270795700465
1200,OTU_445144,13,27.67080714535783
932,OTU_193064,16,32.09184028457148
1402,OTU_194151,16,42.13514070638693
549,OTU_331013,18,26.295093485618796
1927,OTU_259993,16,28.884569566037083
2168,OTU_349246,16,36.43131831481799
120,120min glucose,19,29.994666804743602
1809,OTU_539647,14,32.2209847780359
201,OTU_198209,18,37.701459174640355
2111,OTU_344703,15,26.253944126784415
908,OTU_272758,13,24.892925337950413
2014,OTU_230268,16,31.797966662692758
498,OTU_193672,18,26.3240232375361
2288,OTU_1902400,17,38.401128390936094
2504,OTU_445144,12,24.84686987848751
2517,OTU_198209,12,25.162591471995473
2485,OTU_191616,16,26.17276341780144
3440,OTU_182764,18,38.29711999267439
1867,OTU_264846,15,38.240490616194975
1028,OTU_203713,17,33.210325620248426
1365,OTU_188225,16,42.307706841152374
148,OTU_166911,19,32.77372019971167
1525,OTU_460611,16,47.87496024749704
1919,OTU_266946,22,29.422539782114207
1866,OTU_187962,15,27.31329415338703
2182,OTU_170950,19,49.964227141369534
1787,OTU_349246,15,32.181500757584374
367,OTU_264155,12,29.015158349562377
2103,OTU_198209,19,40.61966761953223
2580,OTU_187962,19,34.31766474305075
1818,OTU_191067,20,40.57607862964574
948,OTU_193672,20,42.06668911076393
967,OTU_268063,14,31.80067461523982
2538,OTU_179703,19,35.68232923013901
2960,OTU_272889,15,36.144974291972304
446,Body weight,14,30.35871505515469
1938,OTU_187962,13,32.450038271244026
1928,OTU_549756,18,29.82800934307099
1756,OTU_539647,19,35.4380479289244
1385,OTU_191067,13,45.20801941637089
1326,OTU_230268,15,37.41575425839665
1486,OTU_182712,24,39.3060538970834
2083,OTU_261016,17,34.18329472814772
2515,OTU_320249,13,30.29405901975561
866,OTU_191811,15,27.32992956561841
636,fasting glucose from GTT,17,37.95209032883185
777,OTU_129394,21,33.550458055353154
107,OTU_261142,18,32.697368492622246
2077,OTU_349246,17,30.801847276963365
1743,OTU_180362,18,45.751351432569116
1386,OTU_191616,18,45.776659134713746
846,OTU_185222,15,35.483027210672205
1534,OTU_309916,18,34.53202585168532
177,OTU_134762,16,31.321330869965912
1056,OTU_324888,18,38.57418893933056
1363,OTU_197099,14,20.634666455835188
1657,OTU_193064,20,36.573523035147815
1343,OTU_182764,15,41.15100353464911
978,OTU_191811,13,30.136428479501234
2514,OTU_1995182,15,25.532086380418306
1974,OTU_191616,18,35.730636271193596
16,OTU_180362,18,30.540948189349713
1636,OTU_203713,22,49.04951682304622
937,OTU_134762,15,27.82668119325444
237,OTU_180362,21,28.873707648137685
1477,OTU_268063,16,46.18045988090083
1792,OTU_272758,14,34.967033920068964
1643,fasting insulin,21,25.89023326656442
1153,OTU_264734,18,32.61500258670304
1072,120min glucose,18,39.5685513166931
1374,OTU_268063,18,33.42865257358969
1175,OTU_182712,17,44.89583452457875
1983,OTU_191274,15,27.260023551439964
1473,OTU_188225,13,31.062860398115816
797,OTU_324013,17,39.740915931456634
1323,OTU_261590,17,37.58249701775924
57,OTU_331013,18,41.84406203565339
213,OTU_309916,24,28.50269566455294
157,OTU_297143,17,28.80322779215968
1716,OTU_331013,16,33.85708332603072
912,OTU_176154,19,40.14800664376909
453,OTU_196191,17,39.95776585064476
224,OTU_4448052,17,40.19392020947758
2132,OTU_188225,21,38.20953849816463
2372,OTU_266946,20,39.34491793938603
2433,OTU_268063,19,29.971208058367523
473,OTU_268492,14,34.652419691853
614,OTU_166911,14,31.899882996343866
2373,OTU_262104,18,39.77546170700872
192,OTU_197099,17,20.797685285230724
593,OTU_203713,18,44.38284822463549
2013,OTU_549756,14,27.44137176336026
255,OTU_272758,19,28.30718458914665
1910,OTU_198194,17,48.47440712300872
1571,OTU_174320,18,30.113206967750973
46,OTU_259506,14,32.7379877366642
1144,fasting glucose from GTT,13,44.99508556442927
2329,OTU_324013,17,28.548620617428668
543,OTU_185222,12,31.705222550926898
64,OTU_270200,18,43.33273908667881
1949,OTU_264846,17,34.66047158746044
1422,OTU_193064,19,35.67192180846777
1694,OTU_265011,17,35.079291133194126
1850,OTU_261590,19,29.480864392984753
1590,OTU_331013,14,38.74912584669674
3240,OTU_460611,17,37.61588165102876
251,OTU_182712,17,24.987101069724922
1870,OTU_288680,19,34.73433618099211
324,OTU_182712,17,32.634846547538736
1359,OTU_4345268,14,38.038634583287056
1574,OTU_4345268,19,55.91733981704574
988,OTU_269037,16,34.85295000166117
1788,OTU_539647,16,29.073604402992935
129,GTT-AUC,18,36.495908915925966
352,OTU_4448052,16,31.069653580255622
202,OTU_272758,15,27.594410792166208
1070,HOMA-IR,16,30.13253414370287
1401,OTU_180362,16,38.867110268733995
769,fasting glucose from HOMA serum,16,33.39665448052346
1123,OTU_272889,17,36.481306747536735
995,OTU_191811,15,38.374594199267804
2359,OTU_185222,20,28.07104679805919
480,OTU_203713,21,33.07679529915439
2347,OTU_129394,22,46.255231949852785
1611,OTU_198209,18,32.32169430418522
2327,OTU_349246,19,41.50634219196849
649,OTU_191811,19,40.464379886253006
621,OTU_349246,16,33.22751493146231
3020,GTT-AUC,16,28.937634582479774
1409,OTU_170950,17,36.81174536324193
2527,OTU_270200,18,39.45863400875013
968,OTU_229452,18,45.186418819660204
1122,OTU_182712,17,46.314658226190865
648,OTU_445144,15,34.57451287577912
1380,Body weight,19,37.22391149897961
1849,OTU_268492,17,27.283888804077417
979,OTU_176154,15,25.5284846608201
161,fasting glucose from HOMA serum,18,32.46400735239645
1018,OTU_198209,22,48.96929545466306
2469,OTU_259506,16,30.545948523029892
2141,OTU_259993,17,28.328536242739027
2160,OTU_197099,17,32.81905125455128
1387,GTT-AUC,18,35.66250638747444
2434,OTU_324888,20,43.51947779962431
1259,OTU_344703,17,42.92599418540495
2380,OTU_198209,17,36.381055716766454
2640,OTU_196191,17,33.81178760857832
1987,OTU_191274,16,32.577321849379025
1221,HOMA-IR,18,38.533925143484
1499,OTU_265011,14,28.884621866781302
2060,OTU_288680,12,34.011590496706596
81,OTU_265011,18,42.928481621739536
888,OTU_349246,21,34.64246345104788
422,OTU_268492,16,32.73578258686621
2423,GTT-AUC,15,26.692011986794263
1706,OTU_264846,14,29.49987421605071
830,OTU_324013,15,30.60307406608289
2720,OTU_264225,20,33.95516689193158
1766,OTU_346804,13,30.437169525520908
1438,OTU_261132,17,25.079549045502258
1487,OTU_198194,16,35.10248939747396
2325,OTU_268063,18,35.69339839869713
197,OTU_268492,16,31.959598273281134
405,OTU_269037,21,60.939320236955695
2154,OTU_229452,16,32.26071879796911
2124,OTU_191811,18,34.10610298164913
1897,OTU_272758,18,33.292847305773044
861,OTU_176154,16,28.39717145880939
1605,OTU_1902400,15,21.77871795411376
1376,OTU_268063,20,55.42008606478414
0,OTU_268063,16,26.465143930716682
1167,OTU_191274,15,30.287483504627495
1917,HOMA-IR,14,34.464377265751104
1073,OTU_272092,15,32.59860867002507
2136,OTU_261142,18,33.50415204385138
266,OTU_170950,15,36.25868012773488
746,OTU_264155,17,29.818608986447853
328,OTU_259993,16,31.861258047937635
2015,OTU_179703,19,40.554804910319874
496,OTU_261016,17,28.451581570447665
318,OTU_187233,14,26.821835877400883
2255,OTU_1995182,18,30.668589471333185
1984,OTU_198209,14,27.035692987447884
2391,OTU_4448052,17,33.77548290632655
1355,OTU_270200,16,32.607083678001715
2057,OTU_191274,16,45.58934908375955
176,OTU_539647,19,36.62020491463657
2374,fasting glucose from HOMA serum,16,34.6095265327918
2272,fasting glucose from GTT,17,35.26549912792176
796,OTU_194151,16,28.553922765687464
766,OTU_261132,16,30.113082113522353
1872,OTU_272758,19,35.55372234936496
2309,OTU_230268,16,26.99967728366711
1394,OTU_344703,15,31.478222046271565
1592,OTU_197099,15,31.430748110317793
1485,OTU_262104,21,30.538554665149103
594,OTU_194151,17,27.167473083904984
1915,OTU_264155,19,33.10259409591694
1556,OTU_261590,16,37.07691746334164
1195,OTU_272889,14,32.601039891481086
2350,OTU_264734,14,27.90129190233646
374,OTU_198209,18,33.363534720428326
953,OTU_191067,17,29.298287878127798
546,OTU_129394,17,32.746429265322455
853,OTU_196191,12,30.788810819383585
1693,OTU_185177,19,23.353835738153947
1015,OTU_262104,16,27.34063309264723
2352,OTU_272758,13,25.94316352034618
474,OTU_134762,16,22.872569620110216
1692,OTU_198209,19,31.520880522101745
1091,OTU_269037,13,34.80222003359709
333,OTU_261016,13,31.63963860357048
1933,fasting insulin,17,28.836393346748388
1019,OTU_259506,17,28.788166344319592
1551,OTU_174320,15,32.28756893372525
1304,OTU_261016,14,28.34365072922821
274,OTU_344703,18,40.056142017076354
2169,OTU_182712,16,42.47358923755987
852,OTU_198209,21,38.69520334525959
1546,120min glucose,21,42.89096263438039
3300,OTU_194151,15,25.24811825658662
32,fed glucose,15,31.609572061738238
684,OTU_272758,16,36.39085385563318
10,OTU_460611,17,35.75317931068148
2153,OTU_194151,14,30.242827256013744
1923,GTT-AUC,16,31.349932785179444
130,fasting glucose from GTT,18,28.063012296739938
1670,OTU_230268,19,37.83938322599317
204,OTU_259993,19,36.81515429015434
1988,fasting insulin,15,35.41267593274923
2479,OTU_272092,16,33.84076659838271
2202,OTU_182764,18,31.145615631222963
1246,OTU_1129461,17,39.75337895316127
1934,OTU_268063,14,24.980315035352145
311,OTU_268063,19,44.57421678042616
2267,OTU_264225,17,35.03918721457423
25,OTU_272092,19,30.3410703112651
329,OTU_187233,15,31.777941858641647
778,OTU_270200,16,32.74355430920089
529,OTU_4468805,18,40.2904665700807
2462,OTU_445144,16,26.549903432194462
1950,HOMA-IR,15,25.61294530632766
11,OTU_265011,15,26.746589569389755
2129,OTU_266946,15,31.065256492671036
385,OTU_261016,13,25.688955875565785
1089,OTU_134762,16,25.494876618597843
2338,OTU_179703,14,28.69490933902698
1077,OTU_346804,19,37.45430772930779
1801,OTU_134762,13,33.89550815971095
1328,OTU_193064,14,38.27251480291596
1997,OTU_1129461,20,47.22323236170666
1589,OTU_272092,18,41.03883326511816
2138,OTU_197099,13,25.310946254754295
925,OTU_266946,17,45.76192958041803
1059,OTU_272758,16,31.947296419034966
1862,OTU_445144,14,27.70536616997714
1430,OTU_297143,22,38.450016122321635
1092,OTU_539647,14,31.462928418181505
550,OTU_265011,21,38.62970081843055
3640,GTT-AUC,20,36.08860640686865
